iter	Passed	Remaining
0	66	66158
1	74	37367
2	86	28608
3	93	23334
4	102	20370
5	110	18259
6	118	16789
7	126	15690
8	134	14829
9	143	14158
10	151	13619
11	159	13159
12	168	12785
13	176	12443
14	185	12158
15	194	11937
16	205	11880
17	215	11754
18	223	11550
19	233	11448
20	242	11319
21	254	11300
22	263	11194
23	271	11039
24	280	10951
25	289	10836
26	297	10726
27	305	10605
28	313	10505
29	322	10421
30	331	10355
31	341	10319
32	349	10228
33	357	10153
34	368	10149
35	381	10205
36	401	10439
37	413	10456
38	430	10616
39	450	10817
40	459	10755
41	467	10669
42	477	10621
43	485	10545
44	495	10508
45	503	10449
46	512	10394
47	520	10327
48	529	10284
49	538	10230
50	548	10204
51	558	10188
52	568	10154
53	577	10113
54	585	10054
55	595	10046
56	605	10019
57	614	9979
58	626	9986
59	634	9946
60	644	9915
61	651	9860
62	660	9830
63	668	9770
64	679	9770
65	694	9825
66	706	9832
67	716	9826
68	724	9776
69	734	9757
70	752	9843
71	762	9822
72	771	9800
73	781	9785
74	791	9762
75	799	9718
76	809	9700
77	822	9727
78	841	9812
79	855	9842
80	869	9866
81	883	9895
82	898	9927
83	913	9963
84	928	9992
85	947	10074
86	965	10132
87	984	10203
88	1003	10273
89	1019	10303
90	1035	10341
91	1050	10370
92	1064	10383
93	1081	10423
94	1095	10436
95	1108	10436
96	1130	10520
97	1151	10593
98	1161	10568
99	1172	10550
100	1181	10518
101	1191	10492
102	1202	10474
103	1211	10437
104	1222	10419
105	1233	10402
106	1245	10397
107	1256	10374
108	1269	10377
109	1281	10368
110	1294	10366
111	1305	10354
112	1315	10324
113	1324	10292
114	1333	10258
115	1341	10220
116	1350	10190
117	1361	10174
118	1369	10138
119	1380	10122
120	1391	10110
121	1399	10073
122	1406	10030
123	1414	9995
124	1422	9957
125	1433	9940
126	1446	9945
127	1462	9960
128	1479	9991
129	1488	9963
130	1496	9927
131	1505	9900
132	1513	9865
133	1522	9839
134	1531	9811
135	1540	9787
136	1549	9761
137	1559	9740
138	1569	9719
139	1578	9698
140	1588	9674
141	1595	9639
142	1604	9614
143	1615	9604
144	1625	9584
145	1634	9561
146	1646	9554
147	1655	9527
148	1665	9510
149	1673	9481
150	1681	9455
151	1690	9430
152	1699	9405
153	1707	9382
154	1716	9360
155	1725	9337
156	1736	9322
157	1746	9304
158	1757	9295
159	1768	9285
160	1778	9265
161	1786	9243
162	1796	9223
163	1805	9202
164	1814	9182
165	1823	9160
166	1833	9144
167	1843	9129
168	1852	9109
169	1861	9089
170	1870	9068
171	1880	9050
172	1889	9032
173	1897	9009
174	1905	8982
175	1915	8968
176	1925	8951
177	1935	8937
178	1944	8917
179	1953	8900
180	1963	8883
181	1973	8869
182	1982	8849
183	1991	8830
184	2000	8811
185	2009	8794
186	2018	8775
187	2027	8757
188	2036	8738
189	2045	8720
190	2057	8715
191	2065	8693
192	2075	8679
193	2085	8665
194	2097	8657
195	2106	8641
196	2116	8625
197	2125	8608
198	2135	8593
199	2144	8576
200	2153	8561
201	2164	8549
202	2173	8532
203	2182	8517
204	2192	8502
205	2201	8486
206	2211	8471
207	2220	8453
208	2229	8436
209	2238	8420
210	2248	8406
211	2259	8400
212	2269	8386
213	2279	8371
214	2289	8359
215	2298	8342
216	2307	8326
217	2318	8316
218	2328	8304
219	2338	8290
220	2348	8278
221	2358	8263
222	2367	8248
223	2376	8232
224	2386	8218
225	2395	8203
226	2407	8198
227	2417	8186
228	2427	8172
229	2436	8158
230	2445	8142
231	2455	8127
232	2464	8113
233	2474	8100
234	2484	8087
235	2493	8073
236	2503	8058
237	2511	8042
238	2521	8027
239	2530	8012
240	2539	7997
241	2548	7982
242	2558	7969
243	2568	7956
244	2577	7942
245	2586	7926
246	2594	7910
247	2603	7893
248	2612	7878
249	2623	7870
250	2633	7858
251	2642	7843
252	2652	7832
253	2664	7826
254	2677	7823
255	2688	7812
256	2697	7799
257	2707	7787
258	2717	7775
259	2727	7763
260	2737	7750
261	2745	7733
262	2752	7714
263	2760	7696
264	2769	7682
265	2778	7667
266	2787	7652
267	2797	7639
268	2807	7628
269	2817	7618
270	2827	7607
271	2837	7594
272	2846	7580
273	2856	7567
274	2865	7554
275	2875	7544
276	2885	7532
277	2894	7518
278	2905	7507
279	2916	7498
280	2926	7487
281	2935	7474
282	2944	7460
283	2953	7447
284	2963	7433
285	2972	7420
286	2981	7407
287	2990	7394
288	3000	7382
289	3009	7368
290	3018	7354
291	3028	7342
292	3036	7326
293	3045	7313
294	3054	7300
295	3064	7289
296	3075	7280
297	3083	7264
298	3092	7249
299	3101	7235
300	3108	7218
301	3116	7203
302	3125	7190
303	3135	7177
304	3143	7163
305	3153	7152
306	3161	7137
307	3169	7120
308	3179	7109
309	3188	7095
310	3198	7086
311	3208	7074
312	3218	7064
313	3228	7052
314	3237	7039
315	3247	7030
316	3259	7022
317	3269	7013
318	3280	7003
319	3293	6998
320	3303	6988
321	3312	6975
322	3322	6964
323	3331	6951
324	3340	6938
325	3350	6926
326	3359	6913
327	3368	6901
328	3377	6887
329	3386	6875
330	3398	6868
331	3408	6857
332	3418	6846
333	3428	6837
334	3440	6828
335	3453	6825
336	3466	6819
337	3476	6808
338	3486	6798
339	3497	6789
340	3506	6775
341	3515	6763
342	3524	6750
343	3532	6736
344	3541	6723
345	3549	6709
346	3558	6696
347	3566	6682
348	3575	6670
349	3587	6662
350	3600	6656
351	3614	6654
352	3630	6653
353	3644	6649
354	3657	6644
355	3669	6638
356	3680	6628
357	3695	6626
358	3709	6623
359	3724	6620
360	3737	6615
361	3749	6608
362	3762	6601
363	3773	6593
364	3790	6594
365	3806	6593
366	3823	6594
367	3832	6581
368	3841	6568
369	3852	6558
370	3861	6546
371	3871	6535
372	3880	6522
373	3891	6512
374	3903	6505
375	3911	6490
376	3920	6478
377	3929	6465
378	3937	6452
379	3947	6440
380	3955	6426
381	3966	6416
382	3975	6404
383	3986	6395
384	3996	6384
385	4006	6373
386	4017	6362
387	4026	6350
388	4035	6337
389	4046	6329
390	4056	6318
391	4068	6309
392	4078	6299
393	4090	6291
394	4106	6290
395	4118	6281
396	4128	6270
397	4136	6256
398	4145	6244
399	4156	6234
400	4164	6221
401	4172	6206
402	4183	6197
403	4193	6186
404	4202	6173
405	4208	6157
406	4216	6144
407	4224	6129
408	4232	6115
409	4240	6101
410	4249	6089
411	4257	6076
412	4267	6065
413	4275	6051
414	4284	6039
415	4293	6027
416	4304	6018
417	4315	6008
418	4325	5997
419	4333	5983
420	4340	5969
421	4348	5955
422	4356	5943
423	4365	5930
424	4374	5918
425	4383	5906
426	4393	5895
427	4409	5892
428	4419	5882
429	4430	5873
430	4440	5861
431	4449	5849
432	4457	5837
433	4466	5825
434	4475	5813
435	4486	5803
436	4496	5792
437	4506	5782
438	4517	5773
439	4527	5762
440	4539	5753
441	4548	5742
442	4559	5732
443	4569	5722
444	4578	5710
445	4587	5698
446	4598	5688
447	4607	5676
448	4617	5666
449	4627	5656
450	4635	5643
451	4644	5631
452	4653	5618
453	4662	5607
454	4670	5594
455	4680	5583
456	4690	5573
457	4700	5563
458	4711	5552
459	4722	5543
460	4732	5533
461	4742	5522
462	4751	5511
463	4761	5500
464	4770	5488
465	4779	5477
466	4789	5465
467	4799	5455
468	4808	5444
469	4818	5433
470	4828	5422
471	4836	5410
472	4846	5399
473	4854	5387
474	4865	5377
475	4874	5366
476	4884	5355
477	4893	5344
478	4902	5332
479	4912	5322
480	4922	5311
481	4931	5300
482	4941	5288
483	4951	5278
484	4961	5268
